Nice,Came in great,5.0 out of 5 stars
Great phone!,This was purchased at SUCH a good price. Very easy to set up with provider. Pleasantly surprised at how new it seems!,5.0 out of 5 stars
Good product,"It's been 7 or 8 months since I got this iPhone, it works perfectly, the battery is good.  Looks like brand new.  I was waiting to see how it worked before making my review.So don’t hesitate to buy y’all!!",5.0 out of 5 stars
Producto muy malo,Era para regalo y quede en vergüenza con algo tan rayado y en tan mal uso,
Happy with my phone!!!,Good quality.  Packaging was good.,5.0 out of 5 stars
Never knew you could get such great quality with a used phone,"I needed a secondary iPhone for my job to separate personal and professional but paying $1,000 for a new phone was not going to happen.  This phone was in excellent condition, looks new.  The battery is in very good condition too.  Highly recommend.",5.0 out of 5 stars
Renew but still good,Just like the title said. I am glad that Apple still supports this model.,
Very decent but not perfect Iphone XR,"Got mine about 4 days after shipping but that is fine with me, when it came in, it was not in an Iphone box or anything, simply in the 3rd party sellers box with the basic iphone charger to come along with it. The phone itself was what I bought, looked exactly like the Iphone XR. Do note : Battery is not 100%, I don't think any of them are or will be, so do not expect the battery to be perfect. Mine was 85% on day of arrival but as writing this review a day later, it has gone to 84%. I hope it does last a very long time, only time will tell. But do buy, it is an Iphone XR and mine is basically new besides the battery life and a tiny scratch mark on the black paint.",
Great,Phone works great sounds and pictures,
Still waiting for full refund,I could not hear out of the phone. I am still waiting for a full refund.,
Unknown Battery Part.,"Phone looks practically brand new. Cameras are fine. I'm just concerned about the battery it got really hot when I used my fast charger and I don't have any other regular chargers besides the one it came with and that one looks so generic and it probably would charge it at Turtle Speed. I'm just a little worried since the battery isn't an official Apple Battery Part I may have to get this battery replaced so I can see my Battery Health since having a good battery is important for phones but over all this is a refurbished good phone. I just pray the battery isn't super cheap and won't swell,overheat, or explode on me.",
It's a solid iPhone,I like the color red and got a transparent case for it.,
Like New!,"Bought this for a Valentine’s Day gift and it was perfect! Came in a decent amount of time and functions like it’s brand new! I was very pleased considering the price I paid, it was great!",5.0 out of 5 stars
Bad volume,"I used it for paying bills, Facebook. Twitter, messenger, banking.",
EXCELLENT COST/BENEFIT,NO PROBLEMS AT ALL WITH THIS UNIT…BATTERY LIFE IS NORMAL LIKE NEW.,5.0 out of 5 stars
The touch and the board.,"The media could not be loaded.
                



 Was using the phone from the day it came but I was having some issues with the phone turning on and the touch so I went to a technician and they said the board inside the phone needs to be changed it's rotten (rusty) and this all started when I started using the phone .",
Camera sucks,The phone was nice but the camera sucked !It’s so blurry even after cleaning the lenseIt’s still blurry horrible smh,
